stock_name,symbol,industry
Eraaya Lifespace,EBIX,2/3 Wheelers
Wardwizard Inno.,WARDINMOBI,2/3 Wheelers
Supertech EV,SEVL,2/3 Wheelers
Ather Energy,ATHERENERG,2/3 Wheelers
Bajaj Auto,BAJAJ-AUTO,2/3 Wheelers
Delta Auto.,DELTIC,2/3 Wheelers
Eicher Motors,EICHERMOT,2/3 Wheelers
Hero Motocorp,HEROMOTOCO,2/3 Wheelers
Ola Electric,OLAELEC,2/3 Wheelers
Tunwal E-Motors,TUNWAL,2/3 Wheelers
TVS Motor Co.,TVSMOTOR,2/3 Wheelers
Galaxy Bearings,526073,Abrasives & Bearings
Carborundum Uni.,CARBORUNIV,Abrasives & Bearings
Grindwell Norton,GRINDWELL,Abrasives & Bearings
NRB Indl Bearing,NIBL,Abrasives & Bearings
SKF India,SKFINDIA,Abrasives & Bearings
SKP Bearing,SKP,Abrasives & Bearings
Timken India,TIMKEN,Abrasives & Bearings
Wendt India,WENDT,Abrasives & Bearings
Vision Cinemas,RAMAVISION,Advertising & Media Agencies
Esha Media,ESHAMEDIA,Advertising & Media Agencies
Thinkink Picture,PICTUREHS,Advertising & Media Agencies
Sungold Media,ESHAMEDIA,Advertising & Media Agencies
Sharpline Broadc,SHARP,Advertising & Media Agencies
DAPS Advertising,DAPS,Advertising & Media Agencies
Bright Outdoor,BRIGHT,Advertising & Media Agencies
Innokaiz India,ADCINDIA,Advertising & Media Agencies
Toss The Coin,ATHENAGLO,Advertising & Media Agencies
Cyber Media Res.,CMRSL,Advertising & Media Agencies
Crayons Advertis,CRAYONS,Advertising & Media Agencies
Cash UR Drive,CUDML,Advertising & Media Agencies
Digicontent,DGCONTENT,Advertising & Media Agencies
Graphisads,GRAPHISAD,Advertising & Media Agencies
Pramara Promotio,PRAMARA,Advertising & Media Agencies
R K Swamy,RKSWAMY,Advertising & Media Agencies
Signpost India,SIGNPOST,Advertising & Media Agencies
Veritaas Adver.,VERITAAS,Advertising & Media Agencies
Vertoz,VERTOZ,Advertising & Media Agencies
Winpro Industrie,WINPRO,Advertising & Media Agencies
Jaykay Enter.,JAYKAY,Aerospace & Defense
Taneja Aerospace,PACE,Aerospace & Defense
Sika Interplant,SIKA,Aerospace & Defense
CFF Fluid,FLUIDOM,Aerospace & Defense
Apollo Micro Sys,APOLLO,Aerospace & Defense
Astra Microwave,ASTRAMICRO,Aerospace & Defense
Avantel,AVANTEL,Aerospace & Defense
AXISCADES Tech.,AXISCADES,Aerospace & Defense
Bharat Dynamics,BDL,Aerospace & Defense
Bharat Electron,BEL,Aerospace & Defense
C2C Advanced,C2C,Aerospace & Defense
Data Pattern,DATAPATTNS,Aerospace & Defense
DCX Systems,DCXINDIA,Aerospace & Defense
Garden Reach Sh.,GRSE,Aerospace & Defense
Hind.Aeronautics,HAL,Aerospace & Defense
Ideaforge Tech,IDEAFORGE,Aerospace & Defense
Krishna Defence,KRISHNADEF,Aerospace & Defense
Mishra Dhatu Nig,MIDHANI,Aerospace & Defense
MTAR Technologie,MTARTECH,Aerospace & Defense
NIBE,NIBE,Aerospace & Defense
Paras Defence,PARAS,Aerospace & Defense
Rossell Techsys,ROSSTECH,Aerospace & Defense
Techera Enginee.,TECHERA,Aerospace & Defense
Unimech Aero.,UNIMECH,Aerospace & Defense
Zen Technologies,ZENTEC,Aerospace & Defense
TAAL Enterprises,TAALENT,Airline
FlySBS Aviation,FLYSBS,Airline
Global Vectra,GLOBALVECT,Airline
Interglobe Aviat,INDIGO,Airline
SpiceJet,SPICEJET,Airline
Dreamfolks Servi,DREAMFOLKS,Airport & Airport services
GMR Airports,GMRAIRPORT,Airport & Airport services
Sudal Industries,506003,Aluminium
MSR India,MSRINDIA,Aluminium
Synthiko Foils,513307,Aluminium
Golkonda Alumin.,GOLKONDA,Aluminium
